2-甲基丁酰辅酶A脱氢酶缺乏症	ACADSB
脊髓性肌萎缩症，X 连锁2型	UBA1
脊椎肋骨发育不全1型	DLL3
家族性肝硬化	KRT18,KRT8
家族性自主神经功能异常	IKBKAP
甲基丙二酸尿症 CBLB 型	MMAB
甲基丙二酸尿症伴同型半胱氨酸尿症	MMACHC
甲基丙二酸血症	MUT
甲羟戊酸尿症	MVK
甲酰基转移酶缺乏症	ATIC
假性醛固酮减少症I型	SCNN1A,SCNN1B,SCNN1G
渐进性肌痉挛癫痫3型	KCTD7
角膜营养不良与感音性耳聋	SLC4A1
进行性家族性肝内胆汁淤积症2型	ABCB11
进行性家族性肝内胆汁淤积症1型	ATP8B1
近端点状软骨发育异常1型	PEX7
近端点状软骨发育异常3型	AGPS
精氨琥珀酸裂解酶缺乏症	ASL
巨颅脑白质病伴皮层下囊肿	MLC1
抗肌萎缩相关糖蛋白病变肌营养不良	LARGE
科凯恩综合征A型	ERCC8
酪氨酸羟化酶缺乏症	TH
酪氨酸血症I型	FAH
类脂性肾上腺皮质增生症	STAR
磷酸吡哆醛依赖性癫痫	PNPO
磷酸丝氨酸转氨酶缺乏症	PSAT1
胱氨酸尿症	SUOX
弥漫性系膜硬化性早发肾病综合征	WT1
免疫力下降性肠病	FOXP3
免疫缺陷-丝粒不稳定面部异常综合征	DNMT3B
钼辅酶缺乏症	MOCS1,MOCS2
囊性纤维化	CFTR
脑白质病变5型	FAM126A
脑发育不全 、神经病变、鱼鳞病、掌跖角化病	SNAP29
脑腱黄瘤病	CYP27A1
脑桥小脑发音不全	TSEN54
脑眼面骨综合征	ERCC6
尼曼匹克病A型	SMPD1
尼曼匹克病C2型	NPC2
尼曼匹克病C型	NPC1
尿黑酸尿症	HGD
柠檬素缺乏症	SLC25A13
凝血因子V缺乏症	FS
胼胝体发育不全，伴随智力缺陷 、眼部缺损、小颌畸形	IGBP1
葡萄糖-6-磷酸脱氢酶缺乏症	G6PD
青少年肌萎缩侧索硬化症2型	ALS2
青少年血色素沉着症	HAMP
全色盲	CNGB3
肉碱棕榈酰基转移酶IA缺乏症	CPTlA
软骨毛发发育不良综合征	RMRP
软骨营养障碍伴耳垄	COL2A1
三功能蛋白缺乏症	HADHB
少年型Paget病	TNFRSF11B
神经节苷脂沉积症	GLB1
神经元蜡样质脂褐质沉积病，CLN3相关	CLN3
神经元蜡样质脂褐质沉积病，CLN5相关	CLN5
神经元蜡样质脂褐质沉积病，CLN6相关	CLN6
神经元蜡样质脂褐质沉积病，CLN8相关	CLN8
神经元蜡样质脂褐质沉积病，PPT1相关	PPT1
神经元蜡样质脂褐质沉积病，TPP1相关	TPP1
神经元蜡样质脂褐质沉积病10型	CTSD
神经元蜡样质脂褐质沉积病7型	MFSD8
肾病综合征1型	NPHS1
肾病综合征3型	PLCE1
肾肝胰腺发育不良	NPHP3
肾结核2型	INVS
肾结核4型	NPHP4
肾肉毒碱运输缺陷	SLC22A5
肾小管发育不全	ACE,AGT,AGTR1,REN
生物素酶缺乏症	BTD
双功能蛋白缺乏症	HSD17B4
糖原贮积病IA型	G6PC
糖原贮积病IB型	SLC37A4
糖原贮积病III型	AGL
糖原贮积病II型	GAA
糖原贮积病IV型	GBE1
糖原贮积病V型	PYGM
天冬氨酰葡萄糖胺尿症	AGA
晚发型肉碱棕榈酰转移酶II缺乏症	CPT2
维生素D羟基化缺陷型佝偻病1A型	CYP27B1
维生素D依赖性佝偻病II型	VDR
无B脂蛋白血症	MTTP
无脑回病1型，X连锁	DCX
无脑回病2型	RELN
戊二酸血症IIA型	ETFA,ETFDH
戊二酸血症I型	GCDH
先天性层黏连蛋白缺失肌肉萎缩症	LAMA2
先天性胆汁酸合成缺陷4型	AMACR
先天性红细胞生成性卟啉病	UROS
先天性肌无力综合征	DPAGT1
先天性甲状腺功能减退症非甲状腺肿4型	TSHB
先天性角质化不良	DKC1
先天性氯离子腹泻	NEUROG3
先天性少髓鞘神经病	EGR2
先天性糖基化障碍IA型	PMM2
先天性糖基化障碍IB型	MPI
先天性糖基化障碍IC型	ALG6
先天性糖基化障碍IE型	DPM1
先天性糖基化障碍IIA型	MGAT2
先天性糖基化障碍IIB型	MOGS
先天性糖基化障碍IID型	B4GALT1
先天性糖基化障碍IIF型	SLC35A1
先天性糖基化障碍IK型	ALG1
先天性糖基化障碍IM型	DOLK
先天性糖莹化隍碍IIC型	SLC35C1
先天性无巨核细胞血小板减少症	MPL
先天性无痛无汗症	NTRK1
先天性无纤维蛋白原血症	FGA,FGB,FGG
先天性血栓性血小板减少性紫癜	ADAMTS13
先天性鱼鳞病，丑胎	ABCA12
纤溶酶原缺乏症I型	PLG
酰基辅酶A脱氢酶9不足性线粒体复合体缺乏症	ACAD9
线粒体DNA缺失综合征，肝脑型	DGUOK
线粒体DNA缺失综合征，肌肉型	TK2
线粒体复合体III缺乏症	UQCRB,UQCRQ
腺苷脱氨酶缺乏症	ADA
小脑发音不全伴精神发育迟滞	VLDLR
小眼球综合征9型	STRA6
心脏瓣膜型Ehlers-Danlos综合征	COL1A2
血色素沉着症	HFE2
血色素沉着症3型	TFR2
延胡索酸酶缺乏症	FH
严重先天性中性粒细胞减少症 4 型	G6PC3
岩藻糖苷贮积症	FUCA1
胰岛素样生长因子1抵抗	IGF1
遗传性果糖不耐受症	ALDOB
遗传性运动和感觉神经病与胼胝体发育不全	SLC12A6
乙基丙二酸脑病	ETHE1
异染性脑白质营养不良	ARSA
异戊酸血症	IVD
婴儿猝死综合征伴睾丸发育不全	TSPYL1
婴儿型脊髓小脑性共济失调/线粒体DNA耗竭综合征	C10orf2
婴儿型神经轴突发育不良	PLA2G6
婴儿性纹状体黑质变性	NUP62
婴儿早期型癫痫脑病3型	SLC25A22
婴儿致死型心脑肌病	SCO2
营养不良性大疱性表皮松懈	COL7A1
鱼鳞病、白细胞液化，脱发，和硬化性胆管炎	CLDN1
原发性高草酸尿症1型	AGXT
原发性高草酸尿症2型	GRHPR
远端脊髓性肌萎缩症4型	PLEKHG5
远端脊髓性肌萎缩症1型	IGHMBP2
早发型共济失调伴眼球运动障碍及低白蛋白血症	APTX
粘多糖症II型	GNPTAB
粘多糖症IV型	MCOLN1
粘多糖贮积症IIIA型	SGSH
粘多糖贮积症I型	IDUA
粘多糖贮积症VIII型	GNS
粘多糖贮积症VII型	GUSB
粘多糖贮积症VI型	ARSB
长链3-羟酰基辅酶A脱氢酶缺乏症	HADHA
长链酰基辅酶A脱氢酶缺乏症	ACADL
着色性干皮病B型	ERCC3
着色性干皮病D型	ERCC2
着色性干皮病E型	DDB2
着色性干皮病F型	ERCC4
着色性干皮病G型	ERCC5
肢带型肌营养不良2A型	CAPN3
肢带型肌营养不良2C型	SGCG
肢带型肌营养不良2D型	SGCA
肢带型肌营养不良2E型	SGCB
致密性成骨不全症	CTSK
致命性局限皮肤病	LMNA
致命性先天性挛缩综合征 2 型	ERBB3
致命性先天性挛缩综合征1型	GLE1
致命性婴儿乳酸性酸中毒	SUCLG1
致死型皮肤棘层松解性大疱性表皮松懈	DSP
致死性多发性翼状胬肉综合征	CHRNA1,CHRND
智力迟钝面肌无力综合征1型	ATRX
中链乙酰辅酶A脱氢酶缺乏症	ACADM
着色性干皮病A型	XPA
