组编号	|	编号	|	编号颜色	|	用药建议	|	用药建议颜色	|	建议详细
32	|	黄连素1-2	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果，您的孩子携带<style italic="true">CYP2D6</style> *10单体型，提示可正常使用。
33	|	特布他林1-1	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果，您的孩子使用特布他林药效好，提示可正常使用。
34	|	特布他林1-2	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果，您的孩子使用特布他林药效较好，提示可正常使用。
35	|	特布他林1-3	|	#ffff00	|	增加用药剂量	|	#ffff00	|	检测结果，您的孩子使用特布他林见效慢，提示可遵医嘱提高用药剂量。
36	|	布地奈德1-1	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果，您的孩子使用布地奈德治疗见效慢但长期效果好，提示可正常使用。
37	|	布地奈德1-2	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果，您的孩子使用布地奈德治疗见效较快，长期效果较好，提示可正常使用。
38	|	布地奈德1-3	|	#ffff00	|	勿长期使用	|	#ffff00	|	检测结果，您的孩子使用布地奈德治疗见效快，长期效果差，提示请勿长期使用。
39	|	布洛芬1-1	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果，您孩子<style italic="true">CYP2C9</style>与<style italic="true">CYP2C8</style>均属于正常代谢型，布洛芬代谢正常；<style italic="true">PTGS2</style>多态相关的药效正常。提示可正常使用。
	|	布洛芬2-1	|	#ffffff	|		|		|	
	|	布洛芬3-1	|	#ffffff	|		|		|	
40	|	布洛芬1-1	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果，您孩子<style italic="true">CYP2C9</style>与<style italic="true">CYP2C8</style>均属于正常代谢型，布洛芬代谢正常；<style italic="true">PTGS2</style>多态相关的药效较好。提示可正常使用。
	|	布洛芬2-1	|	#ffffff	|		|		|	
	|	布洛芬3-2	|	#ffffff	|		|		|	
41	|	布洛芬1-1	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果，您孩子<style italic="true">CYP2C9</style>与<style italic="true">CYP2C8</style>均属于正常代谢型，布洛芬代谢正常；<style italic="true">PTGS2</style>多态相关的药效好。提示可正常使用。
	|	布洛芬2-1	|	#ffffff	|		|		|	
	|	布洛芬3-3	|	#ffffff	|		|		|	
42	|	布洛芬1-2	|	#ffff00	|	换用右旋布洛芬	|	#ffff00	|	检测结果，您孩子属于<style italic="true">CYP2C9</style>弱代谢型，<style italic="true">CYP2C8</style> 正常代谢型。对布洛芬代谢慢，副作用风险高。建议换用右旋布洛芬。
	|	布洛芬2-1	|	#ffffff	|		|		|	
	|	布洛芬3-1	|	#ffffff	|		|		|	
43	|	布洛芬1-2	|	#ffff00	|	换用右旋布洛芬	|	#ffff00	|	检测结果，您孩子属于<style italic="true">CYP2C9</style>弱代谢型，<style italic="true">CYP2C8</style> 正常代谢型。对布洛芬代谢慢，副作用风险高。建议换用右旋布洛芬。
	|	布洛芬2-1	|	#ffffff	|		|		|	
	|	布洛芬3-2	|	#ffffff	|		|		|	
44	|	布洛芬1-2	|	#ffff00	|	换用右旋布洛芬	|	#ffff00	|	检测结果，您孩子属于<style italic="true">CYP2C9</style>弱代谢型，<style italic="true">CYP2C8</style> 正常代谢型。对布洛芬代谢慢，副作用风险高。建议换用右旋布洛芬。
	|	布洛芬2-1	|	#ffffff	|		|		|	
	|	布洛芬3-3	|	#ffffff	|		|		|	
45	|	布洛芬1-1	|	#ffffff	|	换用右旋布洛芬	|	#ffff00	|	检测结果，您孩子属于<style italic="true">CYP2C9</style>正常代谢型，携带<style italic="true">CYP2C8</style> *2单体型，对布洛芬代谢慢，副作用风险高。建议换用右旋布洛芬。
	|	布洛芬2-2	|	#ffff00	|		|		|	
	|	布洛芬3-1	|	#ffffff	|		|		|	
46	|	布洛芬1-1	|	#ffffff	|	换用右旋布洛芬	|	#ffff00	|	检测结果，您孩子属于<style italic="true">CYP2C9</style>正常代谢型，携带<style italic="true">CYP2C8</style> *2单体型，对布洛芬代谢慢，副作用风险高。建议换用右旋布洛芬。
	|	布洛芬2-2	|	#ffff00	|		|		|	
	|	布洛芬3-2	|	#ffffff	|		|		|	
47	|	布洛芬1-1	|	#ffffff	|	换用右旋布洛芬	|	#ffff00	|	检测结果，您孩子属于<style italic="true">CYP2C9</style>正常代谢型，携带<style italic="true">CYP2C8</style> *2单体型，对布洛芬代谢慢，副作用风险高。建议换用右旋布洛芬。
	|	布洛芬2-2	|	#ffff00	|		|		|	
	|	布洛芬3-3	|	#ffffff	|		|		|	
48	|	布洛芬1-2	|	#ffff00	|	换用右旋布洛芬	|	#ffff00	|	检测结果，您孩子属于<style italic="true">CYP2C9</style>弱代谢型，携带<style italic="true">CYP2C8</style> *2单体型，对布洛芬代谢慢，副作用风险高。建议换用右旋布洛芬。
	|	布洛芬2-2	|	#ffff00	|		|		|	
	|	布洛芬3-1	|	#ffffff	|		|		|	
49	|	布洛芬1-2	|	#ffff00	|	换用右旋布洛芬	|	#ffff00	|	检测结果，您孩子属于<style italic="true">CYP2C9</style>弱代谢型，携带<style italic="true">CYP2C8</style> *2单体型，对布洛芬代谢慢，副作用风险高。建议换用右旋布洛芬。
	|	布洛芬2-2	|	#ffff00	|		|		|	
	|	布洛芬3-2	|	#ffffff	|		|		|	
50	|	布洛芬1-2	|	#ffff00	|	换用右旋布洛芬	|	#ffff00	|	检测结果，您孩子属于<style italic="true">CYP2C9</style>弱代谢型，携带<style italic="true">CYP2C8</style> *2单体型，对布洛芬代谢慢，副作用风险高。建议换用右旋布洛芬。
	|	布洛芬2-2	|	#ffff00	|		|		|	
	|	布洛芬3-3	|	#ffffff	|		|		|	
51	|	布洛芬1-1	|	#ffffff	|	换用右旋布洛芬	|	#ffff00	|	检测结果，您孩子属于<style italic="true">CYP2C9</style>正常代谢型，携带<style italic="true">CYP2C8</style> *3单体型，对布洛芬代谢慢，副作用风险高。建议换用右旋布洛芬。
	|	布洛芬2-3	|	#ffff00	|		|		|	
	|	布洛芬3-1	|	#ffffff	|		|		|	
52	|	布洛芬1-1	|	#ffffff	|	换用右旋布洛芬	|	#ffff00	|	检测结果，您孩子属于<style italic="true">CYP2C9</style>正常代谢型，携带<style italic="true">CYP2C8</style> *3单体型，对布洛芬代谢慢，副作用风险高。建议换用右旋布洛芬。
	|	布洛芬2-3	|	#ffff00	|		|		|	
	|	布洛芬3-2	|	#ffffff	|		|		|	
53	|	布洛芬1-1	|	#ffffff	|	换用右旋布洛芬	|	#ffff00	|	检测结果，您孩子属于<style italic="true">CYP2C9</style>正常代谢型，携带<style italic="true">CYP2C8</style> *3单体型，对布洛芬代谢慢，副作用风险高。建议换用右旋布洛芬。
	|	布洛芬2-3	|	#ffff00	|		|		|	
	|	布洛芬3-3	|	#ffffff	|		|		|	
54	|	布洛芬1-2	|	#ffff00	|	换用右旋布洛芬	|	#ffff00	|	检测结果，您孩子属于<style italic="true">CYP2C9</style>弱代谢型，携带<style italic="true">CYP2C8</style> *3单体型，对布洛芬代谢慢，副作用风险高。建议换用右旋布洛芬。
	|	布洛芬2-3	|	#ffff00	|		|		|	
	|	布洛芬3-1	|	#ffffff	|		|		|	
55	|	布洛芬1-2	|	#ffff00	|	换用右旋布洛芬	|	#ffff00	|	检测结果，您孩子属于<style italic="true">CYP2C9</style>弱代谢型，携带<style italic="true">CYP2C8</style> *3单体型，对布洛芬代谢慢，副作用风险高。建议换用右旋布洛芬。
	|	布洛芬2-3	|	#ffff00	|		|		|	
	|	布洛芬3-2	|	#ffffff	|		|		|	
56	|	布洛芬1-2	|	#ffff00	|	换用右旋布洛芬	|	#ffff00	|	检测结果，您孩子属于<style italic="true">CYP2C9</style>弱代谢型，携带<style italic="true">CYP2C8</style> *3单体型，对布洛芬代谢慢，副作用风险高。建议换用右旋布洛芬。
	|	布洛芬2-3	|	#ffff00	|		|		|	
	|	布洛芬3-3	|	#ffffff	|		|		|	
57	|	右旋布洛芬1-1	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果，您孩子<style italic="true">CYP2C8</style>属于正常代谢型，右旋布洛芬代谢正常；<style italic="true">PTGS2</style>多态相关的药效正常。提示可正常使用。
	|	右旋布洛芬2-1	|	#ffffff	|		|		|	
58	|	右旋布洛芬1-1	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果，您孩子<style italic="true">CYP2C8</style>属于正常代谢型，右旋布洛芬代谢正常；<style italic="true">PTGS2</style>多态相关的药效较好。提示可正常使用。
	|	右旋布洛芬2-2	|	#ffffff	|		|		|	
59	|	右旋布洛芬1-1	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果，您孩子<style italic="true">CYP2C8</style>属于正常代谢型，右旋布洛芬代谢正常；<style italic="true">PTGS2</style>多态相关的药效好。提示可正常使用。
	|	右旋布洛芬2-3	|	#ffffff	|		|		|	
60	|	右旋布洛芬1-2	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果，您孩子携带<style italic="true">CYP2C8</style> *2单体型，右旋布洛芬代谢快、副作用低。提示可正常使用。
	|	右旋布洛芬2-1	|	#ffffff	|		|		|	
61	|	右旋布洛芬1-2	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果，您孩子携带<style italic="true">CYP2C8</style> *2单体型，右旋布洛芬代谢快、副作用低。提示可正常使用。
	|	右旋布洛芬2-2	|	#ffffff	|		|		|	
62	|	右旋布洛芬1-2	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果，您孩子携带<style italic="true">CYP2C8</style> *2单体型，右旋布洛芬代谢快、副作用低。提示可正常使用。
	|	右旋布洛芬2-3	|	#ffffff	|		|		|	
63	|	右旋布洛芬1-3	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果，您孩子携带<style italic="true">CYP2C8</style> *3单体型，右旋布洛芬代谢快、副作用低。提示可正常使用。
	|	右旋布洛芬2-1	|	#ffffff	|		|		|	
64	|	右旋布洛芬1-3	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果，您孩子携带<style italic="true">CYP2C8</style> *3单体型，右旋布洛芬代谢快、副作用低。提示可正常使用。
	|	右旋布洛芬2-2	|	#ffffff	|		|		|	
65	|	右旋布洛芬1-3	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果，您孩子携带<style italic="true">CYP2C8</style> *3单体型，右旋布洛芬代谢快、副作用低。提示可正常使用。
	|	右旋布洛芬2-3	|	#ffffff	|		|		|	
66	|	对乙酰氨基酚1-1	|	#ffffff	|	严禁过量	|	#ff0000	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于正常代谢型，对乙酰氨基酚代谢正常。<style italic="true">UGT1A</style>基因型提示过量使用对乙酰氨基酚会有高肝毒性风险。其他毒副作用风险低。综上，请遵医嘱酌情使用。
	|	对乙酰氨基酚2-1	|	#ff0000	|		|		|	
	|	对乙酰氨基酚3-1	|	#ffffff	|		|		|	
	|	对乙酰氨基酚4-1	|	#ffffff	|		|		|	
67	|	对乙酰氨基酚1-1	|	#ffffff	|	严禁过量	|	#ff0000	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于正常代谢型，对乙酰氨基酚代谢正常。<style italic="true">UGT1A</style>基因型提示过量使用对乙酰氨基酚会有高肝毒性风险。其他毒副作用风险较低。综上，请遵医嘱酌情使用。
	|	对乙酰氨基酚2-1	|	#ff0000	|		|		|	
	|	对乙酰氨基酚3-1	|	#ffffff	|		|		|	
	|	对乙酰氨基酚4-2	|	#ffffff	|		|		|	
68	|	对乙酰氨基酚1-1	|	#ffffff	|	严禁过量	|	#ff0000	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于正常代谢型，对乙酰氨基酚代谢正常。<style italic="true">UGT1A</style>基因型提示过量使用对乙酰氨基酚会有高肝毒性风险。其他毒副作用风险中等。综上，请遵医嘱酌情使用。
	|	对乙酰氨基酚2-1	|	#ff0000	|		|		|	
	|	对乙酰氨基酚3-1	|	#ffffff	|		|		|	
	|	对乙酰氨基酚4-3	|	#ffffff	|		|		|	
69	|	对乙酰氨基酚1-1	|	#ffffff	|	严禁过量	|	#ff0000	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于正常代谢型，对乙酰氨基酚代谢正常。<style italic="true">UGT1A</style>基因型提示过量使用对乙酰氨基酚会有高肝毒性风险。其他毒副作用风险较低。综上，请遵医嘱酌情使用。
	|	对乙酰氨基酚2-1	|	#ff0000	|		|		|	
	|	对乙酰氨基酚3-2	|	#ffffff	|		|		|	
	|	对乙酰氨基酚4-1	|	#ffffff	|		|		|	
70	|	对乙酰氨基酚1-1	|	#ffffff	|	严禁过量	|	#ff0000	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于正常代谢型，对乙酰氨基酚代谢正常。<style italic="true">UGT1A</style>基因型提示过量使用对乙酰氨基酚会有高肝毒性风险。其他毒副作用风险中等。综上，请遵医嘱酌情使用。
	|	对乙酰氨基酚2-1	|	#ff0000	|		|		|	
	|	对乙酰氨基酚3-2	|	#ffffff	|		|		|	
	|	对乙酰氨基酚4-2	|	#ffffff	|		|		|	
71	|	对乙酰氨基酚1-1	|	#ffffff	|	严禁过量	|	#ff0000	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于正常代谢型，对乙酰氨基酚代谢正常。<style italic="true">UGT1A</style>基因型提示过量使用对乙酰氨基酚会有高肝毒性风险。其他毒副作用风险较高。综上，请遵医嘱酌情使用。
	|	对乙酰氨基酚2-1	|	#ff0000	|		|		|	
	|	对乙酰氨基酚3-2	|	#ffffff	|		|		|	
	|	对乙酰氨基酚4-3	|	#ffffff	|		|		|	
72	|	对乙酰氨基酚1-1	|	#ffffff	|	严禁过量	|	#ff0000	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于正常代谢型，对乙酰氨基酚代谢正常。<style italic="true">UGT1A</style>基因型提示过量使用对乙酰氨基酚会有高肝毒性风险。其他毒副作用风险中等。综上，请遵医嘱酌情使用。
	|	对乙酰氨基酚2-1	|	#ff0000	|		|		|	
	|	对乙酰氨基酚3-3	|	#ffffff	|		|		|	
	|	对乙酰氨基酚4-1	|	#ffffff	|		|		|	
73	|	对乙酰氨基酚1-1	|	#ffffff	|	严禁过量	|	#ff0000	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于正常代谢型，对乙酰氨基酚代谢正常。<style italic="true">UGT1A</style>基因型提示过量使用对乙酰氨基酚会有高肝毒性风险。其他毒副作用风险较高。综上，请遵医嘱酌情使用。
	|	对乙酰氨基酚2-1	|	#ff0000	|		|		|	
	|	对乙酰氨基酚3-3	|	#ffffff	|		|		|	
	|	对乙酰氨基酚4-2	|	#ffffff	|		|		|	
74	|	对乙酰氨基酚1-1	|	#ffffff	|	慎用	|	#ff0000	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于正常代谢型，对乙酰氨基酚代谢正常。<style italic="true">UGT1A</style>基因型提示过量使用对乙酰氨基酚会有高肝毒性风险。其他毒副作用风险高。综上，请慎用。
	|	对乙酰氨基酚2-1	|	#ff0000	|		|		|	
	|	对乙酰氨基酚3-3	|	#ff0000	|		|		|	
	|	对乙酰氨基酚4-3	|	#ff0000	|		|		|	
75	|	对乙酰氨基酚1-1	|	#ffffff	|	严禁过量	|	#ff0000	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于正常代谢型，对乙酰氨基酚代谢正常。<style italic="true">UGT1A</style>基因型提示过量使用对乙酰氨基酚会有较高肝毒性风险。其他毒副作用风险低。综上，请遵医嘱酌情使用。
	|	对乙酰氨基酚2-2	|	#ff0000	|		|		|	
	|	对乙酰氨基酚3-1	|	#ffffff	|		|		|	
	|	对乙酰氨基酚4-1	|	#ffffff	|		|		|	
76	|	对乙酰氨基酚1-1	|	#ffffff	|	严禁过量	|	#ff0000	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于正常代谢型，对乙酰氨基酚代谢正常。<style italic="true">UGT1A</style>基因型提示过量使用对乙酰氨基酚会有较高肝毒性风险。其他毒副作用风险较低。综上，请遵医嘱酌情使用。
	|	对乙酰氨基酚2-2	|	#ff0000	|		|		|	
	|	对乙酰氨基酚3-1	|	#ffffff	|		|		|	
	|	对乙酰氨基酚4-2	|	#ffffff	|		|		|	
77	|	对乙酰氨基酚1-1	|	#ffffff	|	严禁过量	|	#ff0000	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于正常代谢型，对乙酰氨基酚代谢正常。<style italic="true">UGT1A</style>基因型提示过量使用对乙酰氨基酚会有较高肝毒性风险。其他毒副作用风险中等。综上，请遵医嘱酌情使用。
	|	对乙酰氨基酚2-2	|	#ff0000	|		|		|	
	|	对乙酰氨基酚3-1	|	#ffffff	|		|		|	
	|	对乙酰氨基酚4-3	|	#ffffff	|		|		|	
78	|	对乙酰氨基酚1-1	|	#ffffff	|	严禁过量	|	#ff0000	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于正常代谢型，对乙酰氨基酚代谢正常。<style italic="true">UGT1A</style>基因型提示过量使用对乙酰氨基酚会有较高肝毒性风险。其他毒副作用风险较低。综上，请遵医嘱酌情使用。
	|	对乙酰氨基酚2-2	|	#ff0000	|		|		|	
	|	对乙酰氨基酚3-2	|	#ffffff	|		|		|	
	|	对乙酰氨基酚4-1	|	#ffffff	|		|		|	
79	|	对乙酰氨基酚1-1	|	#ffffff	|	严禁过量	|	#ff0000	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于正常代谢型，对乙酰氨基酚代谢正常。<style italic="true">UGT1A</style>基因型提示过量使用对乙酰氨基酚会有较高肝毒性风险。其他毒副作用风险中等。综上，请遵医嘱酌情使用。
	|	对乙酰氨基酚2-2	|	#ff0000	|		|		|	
	|	对乙酰氨基酚3-2	|	#ffffff	|		|		|	
	|	对乙酰氨基酚4-2	|	#ffffff	|		|		|	
80	|	对乙酰氨基酚1-1	|	#ffffff	|	严禁过量	|	#ff0000	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于正常代谢型，对乙酰氨基酚代谢正常。<style italic="true">UGT1A</style>基因型提示过量使用对乙酰氨基酚会有较高肝毒性风险。其他毒副作用风险较高。综上，请遵医嘱酌情使用。
	|	对乙酰氨基酚2-2	|	#ff0000	|		|		|	
	|	对乙酰氨基酚3-2	|	#ffffff	|		|		|	
	|	对乙酰氨基酚4-3	|	#ffffff	|		|		|	
81	|	对乙酰氨基酚1-1	|	#ffffff	|	严禁过量	|	#ff0000	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于正常代谢型，对乙酰氨基酚代谢正常。<style italic="true">UGT1A</style>基因型提示过量使用对乙酰氨基酚会有较高肝毒性风险。其他毒副作用风险中等。综上，请遵医嘱酌情使用。
	|	对乙酰氨基酚2-2	|	#ff0000	|		|		|	
	|	对乙酰氨基酚3-3	|	#ffffff	|		|		|	
	|	对乙酰氨基酚4-1	|	#ffffff	|		|		|	
82	|	对乙酰氨基酚1-1	|	#ffffff	|	严禁过量	|	#ff0000	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于正常代谢型，对乙酰氨基酚代谢正常。<style italic="true">UGT1A</style>基因型提示过量使用对乙酰氨基酚会有较高肝毒性风险。其他毒副作用风险较高。综上，请遵医嘱酌情使用。
	|	对乙酰氨基酚2-2	|	#ff0000	|		|		|	
	|	对乙酰氨基酚3-3	|	#ffffff	|		|		|	
	|	对乙酰氨基酚4-2	|	#ffffff	|		|		|	
83	|	对乙酰氨基酚1-1	|	#ffffff	|	严禁过量	|	#ff0000	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于正常代谢型，对乙酰氨基酚代谢正常。<style italic="true">UGT1A</style>基因型提示过量使用对乙酰氨基酚会有较高肝毒性风险。其他毒副作用风险高。综上，请遵医嘱酌情使用。
	|	对乙酰氨基酚2-2	|	#ff0000	|		|		|	
	|	对乙酰氨基酚3-3	|	#ff0000	|		|		|	
	|	对乙酰氨基酚4-3	|	#ff0000	|		|		|	
